"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJobBYHEyT9EcRFB1U-KgMlR0","Garage Ford","304 N6, 69760 Limonest, France",,,,"https://maps.google.com/?cid=2131623918490098964","45.808801, 4.778892",,3.7,true,true
"ChIJQSleaEqT9EcRhX2HkcP8Shw","Grammer France Sarl","1 Rue des Vergers, 69760 Limonest, France","04 78 66 82 00","+33 4 78 66 82 00","https://www.grammer.com/en/locations/emea/france.html","https://maps.google.com/?cid=2038719698228968837","45.8067807, 4.772562600000001",,,,
"ChIJa7jER7Ts9EcRyLSG-j3W6eI","Toyota Lexus Sivam North Lyon","6 Chemin des Anciennes Vignes, 69410 Champagne-au-Mont-d'Or, France","04 72 52 32 32","+33 4 72 52 32 32","http://www.sivam.fr/","https://maps.google.com/?cid=16350835483829777608","45.8014039, 4.7741676","[""Monday: 7:30 AM – 7:00 PM"",""Tuesday: 7:30 AM – 7:00 PM"",""Wednesday: 7:30 AM – 7:00 PM"",""Thursday: 7:30 AM – 7:00 PM"",""Friday: 7:30 AM – 7:00 PM"",""Saturday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Sunday: Closed""]",4.2,true,true
"ChIJu6DBLy3r9EcRYkrugDib7p0","AXIAL - GARAGE SAINT RAMBERT","48 Rue des Docteurs Cordier, 69009 Lyon, France","04 78 83 82 17","+33 4 78 83 82 17","http://www.axial.org/garagesaintrambert/","https://maps.google.com/?cid=11380203975395396194","45.8017359, 4.8273174","[""Monday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Tuesday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Wednesday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Thursday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Friday: 7:30 AM – 12:30 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.9,true,true
"ChIJU9faoCrr9EcRHdP440_lf_I","Eurorepar De Maria Automobiles","73 Grande Rue de St Rambert, 69009 Lyon, France","04 78 64 64 11","+33 4 78 64 64 11","http://www.eurorepar.fr/dhtml/page-trouvez-votre-eurorepar-10029.php","https://maps.google.com/?cid=17473937210510725917","45.8008876, 4.8355974","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.5,true,true
"ChIJ3Uz1XFCV9EcRJQTIPEbEqes","Atlantic Automobiles & Lyon Elite Motors","120 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 78 23 11 06","+33 4 78 23 11 06","http://www.autocerdo-opel.com/","https://maps.google.com/?cid=16981319675923661861","45.80815699999999, 4.871098000000001","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: 8:30 AM – 12:00 PM, 2:00 – 6:30 PM"",""Sunday: Closed""]",3.4,true,true
"ChIJu03LNFiV9EcRkMfvE443LeM","Renault Lyon Rillieux","110 Rue du Companet, 69140 Rillieux-la-Pape, France","04 72 01 36 36","+33 4 72 01 36 36","https://bit.ly/2mMKZDC","https://maps.google.com/?cid=16369801303920986000","45.8106298, 4.876282399999999","[""Monday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Tuesday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Wednesday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Thursday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Friday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Saturday: 9:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Sunday: Closed""]",3.6,true,true
"ChIJURiE-FmV9EcRY3IyRmhcxqY","NISSAN BYmyCAR Lyon Rillieux La Pape","1555 Avenue de l'Hippodrome, 69140 Rillieux-la-Pape, France","04 82 29 15 22","+33 4 82 29 15 22","https://www.bymycar.fr/concessions/nissan-lyon-rillieux-la-pape-bymycar-73","https://maps.google.com/?cid=12017394258608812643","45.81003980000001, 4.875287999999999","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Sunday: Closed""]",4.3,true,true
"ChIJ8dybvue_9EcRhmdCHGb0vwU","CITROËN PSA RETAIL RILLIEUX LA PAPE","2 Avenue de l'Hippodrome, 69140 Rillieux-la-Pape, France","04 72 01 58 88","+33 4 72 01 58 88","https://www.psa-retail.com/fr/citroen/lyon/psa-retail-lyon-rillieux-la-pape/?utm_campaign=gmb_ac_fr_other_launch_TF&utm_source=gmb_hp&utm_medium=SM_NPP&utm_content=gmb_hp","https://maps.google.com/?cid=414318410139330438","45.8112181, 4.8779353","[""Monday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Sunday: Closed""]",3.6,true,true
"ChIJH5SHqjST9EcRUAc_AFyIy5s","Garage Paret","4 Route du Paisy, 69570 Dardilly, France","04 78 35 17 84","+33 4 78 35 17 84",,"https://maps.google.com/?cid=11226216424873592656","45.804588, 4.76707","[""Monday: 7:30 AM – 12:00 PM, 1:00 – 6:00 PM"",""Tuesday: 7:30 AM – 12:00 PM, 1:00 – 6:00 PM"",""Wednesday: 7:30 AM – 12:00 PM, 1:00 – 6:00 PM"",""Thursday: 7:30 AM – 12:00 PM, 1:00 – 6:00 PM"",""Friday: 7:30 AM – 12:00 PM, 1:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.5,true,true
