"place_id","rating","language","text","relative_time_description","time"
"ChIJobBYHEyT9EcRFB1U-KgMlR0",1,"fr","J'ai amené ma Ford Fiesta pour un souci moteur. On m'a annoncé qu'il fallait changer tous les injecteurs. Devis dans les 3 000 €. Ils m'ont ensuite dit que ma voiture ne valait pas plus de 800 € à la revente sans les réparations. Du coup, j'ai eu la chance de faire appel à une connaissance qui dispose d'une valise de diag. Il n'y avait qu'un connecteur qui était débranché !!! Ca ne m'a coûté que 50 €. Et j'ai pu revendre ma voiture 3 800 €. A chacun de juger par rapport à mon expérience. En tout cas, ils ne me reverront plus !","a month ago",1535639448
"ChIJobBYHEyT9EcRFB1U-KgMlR0",5,"fr","Bon accueil travail sérieux","5 months ago",1524827203
"ChIJobBYHEyT9EcRFB1U-KgMlR0",5,,"","6 months ago",1521740837
"ChIJa7jER7Ts9EcRyLSG-j3W6eI",5,"en","Helpful and wide selection.","a year ago",1491246390
"ChIJa7jER7Ts9EcRyLSG-j3W6eI",3,"fr","Belle concession mais un peu difficile à trouver . Accueil cordial avec café ..\nEssai du véhicule bien passé mais déception sur la partie offre commerciale..\nDommage","2 weeks ago",1536847608
"ChIJa7jER7Ts9EcRyLSG-j3W6eI",1,"fr","Une honte. Voulant acheter une toyota neuve, j'ai été bizarrement très mal accueilli par un commercial. Ne prend même pas le soin de me présenter un véhicule et me disant d'aller les voir à l'extérieur si je voulais. Je suis allé chez un concurrent pour l'acheter en neuf. Ma femme est partie aussi les voir pour prendre une yaris, elle a reçu un accueil aussi méprisable. Le commercial n'a même pas prit le soin de prendre son contact et lui a juste donné sa carte visite. Une honte","a month ago",1535297727
"ChIJa7jER7Ts9EcRyLSG-j3W6eI",5,"fr","J’y ai acheté une voiture d’occasion, l’accueil est bon, le vendeur a été agréable et arrangeant, et la reprise de mon ancien véhicule raisonnable.","2 weeks ago",1537098316
"ChIJa7jER7Ts9EcRyLSG-j3W6eI",4,"fr","Très bon accueil comme toujours. Personnels courtois et compétents","2 weeks ago",1537172951
"ChIJu6DBLy3r9EcRYkrugDib7p0",5,"fr","Accueil parfait. Employés et patron avenants. A votre écoute pour l’entretien ou réparation sur le véhicule. Vous conseil au mieux selon vos possibilités et urgences (ne force pas à la consommation comme les succursales).\nGarage où l’on retrouve le conseil et la confiance du « petit garagiste de proximité ». En plus, entretien et réparation toutes marques. Etant moi-même très maniaque, le véhicule est rendu après chaque intervention sans aucun défaut (interventions faites dans les règles de l’art).\nJe recommande vivement cet établissement pour ses bons conseils, son professionnalisme et son accueil.","6 months ago",1521444028
"ChIJu6DBLy3r9EcRYkrugDib7p0",5,"fr","Une personne pro et à l'écoute de ses clients .","in the last week",1538078939
