"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJu03LNFiV9EcRkMfvE443LeM","Renault Lyon Rillieux","110 Rue du Companet, 69140 Rillieux-la-Pape, France","04 72 01 36 36","+33 4 72 01 36 36","https://bit.ly/2mMKZDC","https://maps.google.com/?cid=16369801303920986000","45.8106298, 4.876282399999999","[""Monday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Tuesday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Wednesday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Thursday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Friday: 8:30 AM – 12:00 PM, 1:30 – 7:00 PM"",""Saturday: 9:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Sunday: Closed""]",3.6,true,true
"ChIJz2HXDEyV9EcRRrLbKIDF7yM","Midas Caluire","86 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 78 23 85 85","+33 4 78 23 85 85","http://centre.midas.fr/188062-midas-caluire","https://maps.google.com/?cid=2589505464993296966","45.8042263, 4.8636433","[""Monday: 8:00 AM – 6:30 PM"",""Tuesday: 8:00 AM – 6:30 PM"",""Wednesday: 8:00 AM – 6:30 PM"",""Thursday: 8:00 AM – 6:30 PM"",""Friday: 8:00 AM – 6:30 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",4.1,true,
"ChIJ86qAveK_9EcRedVjMK81wbU","A.c.m.r.","588 Chemin du Champ de Lière, 69140 Rillieux-la-Pape, France","04 78 88 50 95","+33 4 78 88 50 95","http://acmr69.pagesperso-orange.fr/version%20fra/presentation%20gen..htm","https://maps.google.com/?cid=13096808217917511033","45.8106467, 4.8811995",,4,true,
"ChIJj-_ACPK_9EcRoDLBzcynqP8","Monin Mécanique","86 Rue de la Pelletière, 69140 Rillieux-la-Pape, France","04 78 88 65 31","+33 4 78 88 65 31","http://www.monin-mecanique.com/","https://maps.google.com/?cid=18422158773826171552","45.8084389, 4.8976505","[""Monday: 7:00 AM – 12:00 PM, 1:00 – 6:00 PM"",""Tuesday: 7:00 AM – 12:00 PM, 1:00 – 6:00 PM"",""Wednesday: 7:00 AM – 12:00 PM, 1:00 – 6:00 PM"",""Thursday: 7:00 AM – 12:00 PM, 1:00 – 6:00 PM"",""Friday: 7:00 AM – 12:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,
"ChIJ8wD2bt2_9EcRwNiPtTSvvOQ","Top Garage Rillieux la pape","191 Avenue Victor Hugo, 69140 Rillieux-la-Pape, France","04 78 97 05 58","+33 4 78 97 05 58","https://reseau.top-garage.fr/205389-garage-petes?utm_source=google&utm_medium=places&utm_campaign=20140606vc","https://maps.google.com/?cid=16482241377188436160","45.8192769, 4.891016599999999","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.7,true,
"ChIJhWEpr8zs9EcR8h5Ly7EC5cM","Mad Motorcycles","51 Chemin du Moulin Carron, 69570 Dardilly, France","04 72 29 26 61","+33 4 72 29 26 61","http://www.madmotorcycles.fr/","https://maps.google.com/?cid=14115691569705852658","45.80431919999999, 4.766214999999999","[""Monday: Closed"",""Tuesday: 10:00 AM – 6:00 PM"",""Wednesday: 10:00 AM – 6:00 PM"",""Thursday: 10:00 AM – 6:00 PM"",""Friday: 10:00 AM – 6:00 PM"",""Saturday: 10:00 AM – 6:00 PM"",""Sunday: Closed""]",4.8,true,true
"ChIJhaE_1Gvr9EcRHJJU4ttJm-4","Change De Chaîne","2 Rue du 24 Mars 1852, 69009 Lyon, France","07 69 09 68 43","+33 7 69 09 68 43","http://www.changedechaine.org/about/","https://maps.google.com/?cid=17193417211160859164","45.7815267, 4.806295200000001","[""Monday: Closed"",""Tuesday: 4:00 – 7:00 PM"",""Wednesday: 4:00 – 7:00 PM"",""Thursday: 4:00 – 7:00 PM"",""Friday: 2:00 – 7:00 PM"",""Saturday: 2:00 – 7:00 PM"",""Sunday: Closed""]",4.9,true,true
"ChIJQzacqxTA9EcRS1IdJUOOSk8","Speck Motorcycles & Workshop","2 Rue Tranquille, 69100 Villeurbanne, France","04 72 04 66 66","+33 4 72 04 66 66","http://www.speck-motos.com/","https://maps.google.com/?cid=5713535496309527115","45.7845917, 4.8973885","[""Monday: 1:30 – 6:30 PM"",""Tuesday: 9:30 AM – 12:30 PM, 1:30 – 6:30 PM"",""Wednesday: 9:30 AM – 12:30 PM, 1:30 – 6:30 PM"",""Thursday: 9:30 AM – 12:30 PM, 1:30 – 6:30 PM"",""Friday: 9:30 AM – 12:30 PM, 1:30 – 6:30 PM"",""Saturday: 9:30 AM – 12:30 PM"",""Sunday: Closed""]",4.3,true,true
"ChIJz0g4ZW_r9EcRDp4Y8BM1y2w","Perrin workshops and Co.","25 Rue Laure Diebold, 69009 Lyon, France","04 78 83 78 50","+33 4 78 83 78 50","http://www.atelierperrin.com/","https://maps.google.com/?cid=7839417936117276174","45.777851, 4.800263","[""Monday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Tuesday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Wednesday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Thursday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Friday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",5,true,true
"ChIJz0g4ZW_r9EcRWR0RwJ4g_mc","Atelier Perrin","25 Rue Laure Diebold, 69009 Lyon, France","04 78 83 78 50","+33 4 78 83 78 50","https://www.atelierperrin.com/","https://maps.google.com/?cid=7493462696190352729","45.77800449999999, 4.8000039","[""Monday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Tuesday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Wednesday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Thursday: 7:30 AM – 12:00 PM, 1:30 – 6:00 PM"",""Friday: 7:30 AM – 12:00 PM, 2:00 – 5:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",5,true,
