"place_id","rating","language","text","relative_time_description","time"
"ChIJu03LNFiV9EcRkMfvE443LeM",1,"fr","A ÉVITER. Mon véhicule est resté 1 jour dans ce garage pour effectuer un bilan suite à une panne avec un message d'erreur. Le garage n'a rien trouvé  La panne est toujours présente et maintenant on me demande de laisser mon véhicule 3 jours !! De plus pas de véhicule de courtoisie. Il faut payer une location . Inimaginable de nos jours alors que le plus petit garage met à disposition un véhicule.","a month ago",1534063450
"ChIJu03LNFiV9EcRkMfvE443LeM",4,"fr","Pour l'achat de ma première voiture, très bonne expérience et vendeurs au petit soin, sympathique et souriants. Proposant le plus de services possible et nous accompagnent tout au long de la vie de notre voiture (achat, entretien et remplacement).","a month ago",1535846917
"ChIJu03LNFiV9EcRkMfvE443LeM",3,"fr","Achat simple et rapide (théoriquement) d'un véhicule neuf DACIA déjà construit, disponible normalement sous 15 jours... étant pressé, je choisis le modèle disponible le plus rapidement (sans passion pour la couleur). Mais au final, non respect de la date de livraison du contrat (indiquée sous 1 mois, alors que nous avions demandé à la date initialement annoncée de 15 jours). Il est nécessaire de rappeler tous les 3 jours pour faire avancer le sujet... a priori la voiture est restée profiter du soleil du Sud de la France. Donc attention aux délais annoncés sur les livraisons... et n'attendez rien en compensation ou en geste commercial chez DACIA.","2 weeks ago",1537172769
"ChIJu03LNFiV9EcRkMfvE443LeM",5,"fr","De passage pour une loa, j'ai été accueilli par un vendeur très pro qui connaît très bien les véhicules et qui est de très bon conseil","2 weeks ago",1537024146
"ChIJu03LNFiV9EcRkMfvE443LeM",5,"fr","J'ai eu un super accueil","in the last week",1538215799
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",2,"fr","Aimable toujours. Rapide aussi. Mais efficace une fois sur deux. Je n'étais pas habituée des garages jusqu'à ce que je commence mon entretien chez Midas Caluire. Et depuis, j'ai un problème récurrent tous les 6 mois, avec toujours environ 300 euros de facture, étalée en 4 fois sans frais pour que la pilule passe mieux. J'étais plutôt convaincue de l'honnêteté il y a un an et demi. Aujourd'hui, plus du tout : j'ai récupéré ma voiture réparée de sa panne la dernière fois mais avec un pot d'échappement mal remonté = nouveau problème. J'ai changé de garagiste, trouvé beaucoup moins cher chez un petit indépendant 500m plus loin et je ne m'arrête plus lorsque je passe devant.","3 weeks ago",1536401077
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Rapide efficace et honnête. J'avais téléphoné la veille pour prendre rendez-vous mais pas besoin au vu de mon problème. Petite salle d'attente pour les petites interventions.\nÉquipe sérieuse et détendu.\nBonne continuation","2 months ago",1531206101
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Très bon garage !!! Donne de bon conseil et entretien bien votre véhicule. Merci A  l équipe de midas.","in the last week",1538377862
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",1,"fr","Service déplorable et des voleurs. \nUne première fois on m'a donné un rdv, je suis allée et c'était fermé. \nBon d'accord, je ne reviens plus et c'est fini.\nAujourd'hui nous sommes à jeudi debout août, plein  de garages sont fermés. J'ai dû venir a Midas la semaine dernière pour la réparation d'une durite (je savais, un garagiste de confiance me l'avais dit mais il ne pouvait pas faire la réparation) on me donne rdv pour lundi. Lundi on m'appelle et on me dit que la pièce n'avait pas arrivé du coup changement de rdv pour mardi. \nOk je modifie mon agenda. Mardi a 10h j'arrive a Midas et le même Adrien qui m'a foutu la m**  3 fois déjà me dit avec son sourire forcé de toujours que la pièce n'est pas arrivé, apparemment la maison ne la fabrique plus. Du coup j'ai bien perdu mon temps. Bravo Midas merci, je n'avais pas autre chose a faire.\nAujourd'hui a 11h je suis allé a un garage Renault (a Rillieux la Pape) qui m'a fait la réparation en 1seule h et ils mon fait économiser 100euros. Sans blague j'ai le devis.\n\nDu coup je suis finalement contente de ne plus retourner chez Midas et avoir croisé en revanche des professionnels honnêtes. Merci Midas.","a month ago",1533830339
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Accueil professionnel et sympathique, dommage que je déménage sinon j'en aurais fait mon garage d'entretien","a month ago",1534186913
"ChIJ86qAveK_9EcRedVjMK81wbU",5,,"","3 months ago",1529246136
"ChIJ86qAveK_9EcRedVjMK81wbU",5,,"","a year ago",1501257708
"ChIJ86qAveK_9EcRedVjMK81wbU",2,,"","a year ago",1485796853
"ChIJ8wD2bt2_9EcRwNiPtTSvvOQ",4,"fr","Bon garagiste ","a year ago",1500552236
"ChIJ8wD2bt2_9EcRwNiPtTSvvOQ",4,,"","a month ago",1535832209
"ChIJ8wD2bt2_9EcRwNiPtTSvvOQ",3,,"","2 years ago",1463809183
"ChIJhWEpr8zs9EcR8h5Ly7EC5cM",5,"en","Very friendly and helpfull staff.\nWe had a breakdown with our car and they were very friendly and translated for us.\n\nThe store and the motorbikes looks really nice.\nIf I would ride motorbikes and lived near by I would definitly buy my bike at Mad Motorcycles","2 months ago",1532784627
"ChIJhWEpr8zs9EcR8h5Ly7EC5cM",5,"fr","Au top ! Des passionnés aux services de la mécanique et de la personnalisation. De très bons conseils, du service, des plannings tenus et surtout des tarifs contenus. Cela change de la monte accessoire que l'on retrouve partout... Je recommande !!","3 months ago",1528425160
"ChIJhWEpr8zs9EcR8h5Ly7EC5cM",5,"fr","Merci Alex pour la réparation rapide et de qualité de mon cadre.","2 months ago",1533202202
"ChIJhWEpr8zs9EcR8h5Ly7EC5cM",5,"fr","Super garage de passionnés ! \nIls ont effectué un stage 1 sur mon Harley, travail impeccable et beaucoup moin chères que chez Harley !!","11 months ago",1509817611
"ChIJhWEpr8zs9EcR8h5Ly7EC5cM",5,"fr","Première rencontre du crew Mad Motorcycle,des bonhommes sympa simple et qui aiment ce qu ils font..De bons conseils,visite à renouveler avec un Chicago Burger et une petite mousse!","a year ago",1506777020
"ChIJhaE_1Gvr9EcRHJJU4ttJm-4",5,"en","Just exactly what many of us need! :)","6 months ago",1520939947
"ChIJhaE_1Gvr9EcRHJJU4ttJm-4",5,"fr","L'équipe est très pro et très sympa. Excellent accompagnement au niveau du diagnostic, des instructions pour les réparations, mais aussi des justificatifs (pour déclarer les dégâts à l'assurance). Le local rassemble tout type de population, des passionnés, des cyclistes qui travaillent à vélo, et même des enfants !","8 months ago",1516805590
"ChIJhaE_1Gvr9EcRHJJU4ttJm-4",5,"fr","Super asso et super lieu pour réparer son vélo","a year ago",1495003920
"ChIJhaE_1Gvr9EcRHJJU4ttJm-4",5,"fr","Une équipe, un lieu, des outils et conseils mis à disposition = une asso au top","a year ago",1505463199
"ChIJhaE_1Gvr9EcRHJJU4ttJm-4",5,"fr","Association motivé qui regroupe les amoureux du vélo. ","a year ago",1501377134
"ChIJQzacqxTA9EcRS1IdJUOOSk8",4,"en","Cool","11 months ago",1509128064
"ChIJQzacqxTA9EcRS1IdJUOOSk8",5,"fr","bossant pas loin, l'équipe SPEAK est super! bon conseil, et pas de surprise (devis-facture). Plusieurs révisions chez eux, et changement pneus (découverte des pneus AVON avec eux).\nJe conseille vivement ...","3 weeks ago",1536731477
"ChIJQzacqxTA9EcRS1IdJUOOSk8",5,"fr","J'ai trouvé chez Speck Motos des pièces pour mon ZX12R (démarreur, disques frein) ce qui devient de plus en plus difficile.\nDes tarifs très peu élevés, des pièces en état très correct, envois rapides et soignés et en plus des correspondants sympas et dispos par téléphone.\nTout bien!\nUne casse moto a recommander donc!","4 months ago",1527789897
"ChIJQzacqxTA9EcRS1IdJUOOSk8",4,"fr","Permet. De dénicher la bonne pièces d'occase en toute confiance 😁","3 months ago",1530382232
"ChIJQzacqxTA9EcRS1IdJUOOSk8",5,"fr","Après la lecture de certains commentaires je pense qu'il est rassurant de dire que l'atelier se trouve très facilement (à condition d'avoir ses lunettes ou son chien pour les aveugles ;) ) et que vous allez chez un garagiste donc ne lui demander par d'installer vos néons sur vos moto... En revanche question mécanique l'équipe de Speck est très pro, à l'écoute et disponible. Thomas gère parfaitement sa boutique et est très sympathique.\nEt pour les tarifs... Ils sont plus que corrects !\n\nVous pouvez y aller les yeux fermés.\nBonne route à tous !","11 months ago",1508866659
"ChIJz0g4ZW_r9EcRDp4Y8BM1y2w",5,"fr","Des vrais pro qui savent de quoi ils parlent. J'y suis allé pour un soucis d'injecteurs, résolu grâce à leur diagnostic. Garage honnête.","11 months ago",1508830120
"ChIJz0g4ZW_r9EcRWR0RwJ4g_mc",5,"fr","tjs au service du client \nde bons conseils et aimables \ntarifs corrects, efficaces \ndes valeurs qui se perdent de nos jours  !","9 months ago",1513858802
"ChIJz0g4ZW_r9EcRWR0RwJ4g_mc",5,,"","9 months ago",1513713795
"ChIJd34KHg3r9EcRuDNrHrGknA0",1,"fr","N'existe plus, garage fermé il y a 6 mois","3 months ago",1529556813
"ChIJd34KHg3r9EcRuDNrHrGknA0",5,"fr","Excellent accueil, j'ai déposé ma voiture le matin je l'ai récupéré le soir. Tout était parfait prix très compétitif et travail soigné.Merci","a year ago",1505833579
"ChIJd34KHg3r9EcRuDNrHrGknA0",5,"fr","Très bon accueil. Ma voiture a été prise en charge rapidement. L'ouverture dès 7h30 est très appréciable pour y déposer son véhicule avant de partir au travail. Ma voiture étant immobilisée plusieurs jours, j'ai pu bénéficier d'un véhicule de courtoisie gratuitement, ce qui est un atout remarquable par rapport à d'autres garages. Les tarifs sont très corrects. Même si ma voiture n'a pas pu être réparée (passage chez le constructeur obligatoire), la panne a été identifiée. J'y retournerai certainement.","a year ago",1479725126
"ChIJd34KHg3r9EcRuDNrHrGknA0",5,"fr","Garagiste honnête,  peu cher et souriant. Rare de nos jours. Très pro","2 years ago",1474107814
"ChIJjX4H0Rrr9EcRdaS-uUyJwVk",5,"fr","Très bien","4 months ago",1527786317
"ChIJjX4H0Rrr9EcRdaS-uUyJwVk",1,"fr","Mauvais accueil par un patron débordé qui refuse de prendre en réparation votre voiture si elle n'est pas révisée chez lui. Un garagiste comme on ne les aime pas !","9 months ago",1514392504
"ChIJjX4H0Rrr9EcRdaS-uUyJwVk",1,"fr","J'essayé d'aller samedi dernier et c'était censé d'être ouvert (horaires affichés) mais c'était fermé sans aucune explication au répondeur ni mot sur la porte...","8 months ago",1516359075
"ChIJjX4H0Rrr9EcRdaS-uUyJwVk",1,"fr","ATTENTION : Une vrai honte, accueil sans aucune politesse et à la limite du mépris. Pour les travaux, facturation avec devis très largement surfacturer (de 400 euros ici, la facture passe à 70 euros chez un autre garagiste du quartier...) Je n'y retournerai plus jamais","a year ago",1505585237
"ChIJjX4H0Rrr9EcRdaS-uUyJwVk",4,"fr","J'ai amené ma voiture pour une révision dans ce garage et le service était très bien. Bon accueil et très professionnel.","a year ago",1499152982
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","J'ai connu ce garage car nous devions refaire nos cartes grises (2 voitures). Lors de mes premiers contacts téléphoniques, très bon accueil, professionnelle, et précise, en prenant le temps de bien m'expliquer (concernant les renseignements et les différents documents à apporter pour les changements de carte grises). Ensuite, lorsque je me suis déplacée pour déposer les documents, j'ai été très bien accueillie par la gérante qui a été souriante, à l'écoute et agréable. Les informations données sont très claires et transparentes. Il est sûre que nous apporterons nos voitures dans ce garage si nous devons effectuer des réparations. Je le conseille très vivement !!","5 months ago",1524472822
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Je viens d’appeler à l'instant pour un renseignant pour une lecture de défaut pour une SMART. Accueil Parfait et tarif compétitif.","a month ago",1534853589
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Venant de Paris, on nous a conseillé ce garage de la Croix-Rousse pour changer des pneus et refaire l'équilibrage de l'ensemble des roues. Et chose rare, nous sommes tombés sur une équipe super accueillante, compétente, professionnelle. Chapeau !","6 months ago",1522949549
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Super bon accueil, le travail est bien fait, le garagiste explique bien tout en détail. Allez-y","3 months ago",1528662328
"ChIJk83gvBzr9EcR8rObyn-WFGg",5,"fr","Tout simplement parfait. Garage familial idéalement situé. L'équipe est très pro, souriante et arrangeante ! Les tarifs sont raisonnables et transparents : ils prennent le temps de vous détailler le tarif de chaque pièce et le temps de montage pour chaque, et si besoin, ils n'hésitent pas à monter votre voiture sur le pont avant le devis, histoire de ne pas vous changer des pièces inutilement :)\nBref, allez-y en toute confiance !","9 months ago",1515093895
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"en","Top!","a year ago",1486245442
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","C'est Excellence ce garage !  bon accueil, à l'écoute des clients, sympathiques, serviables, bon état d'esprit, ils sont passionnés de moto et efficaces dans la prise en charge et les réparations...Bon rapport qualité prix. Simplement génial  de trouver un service qualitatif et des personnes avec qui vous pouvez avoir une totale confiance .","a week ago",1537389918
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","Accueil  au top. \nLes deux mécano prennent le temps d expliquer d ou provient la panne. \nAucune surprise sur la note . \nBref parfait. \nMerci a vous les gars.","4 months ago",1525963657
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","Bon accueil, sympa, pas prise de tête. Répare tout, même le brêlon des années 70 qui someillait au fond du garage. Merci à vous !","3 months ago",1529738849
"ChIJM955r_3q9EcRVm5m2Q35YTw",5,"fr","Accueil sympa et diagnostique nickel. Je recommande !","2 months ago",1533027181
"ChIJad86zjrA9EcR9Ck5uo4Q8Ss",5,"fr","Impeccable pour changer une pièce soit même. Si un coup de main est nécessaire il y a quelqu'un dans le garage.","a month ago",1533374295
"ChIJad86zjrA9EcR9Ck5uo4Q8Ss",1,"fr","Difficilement trouvable, et le mecano turque est un escroc au niveau de l heure ça chiffre vite. Donc faite gaffe c'est un garage que je déconseille absolument à quiconque.","2 months ago",1531411854
