"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJ6UahmhiT9EcRqN3fOXr3LOE","Norauto","N6, 69760 Limonest, France","04 78 66 01 00","+33 4 78 66 01 00","http://centres.norauto.fr/centre/limonest-lyon/021","https://maps.google.com/?cid=16225615661838097832","45.80783519999999, 4.7793074","[""Monday: 8:00 AM – 7:30 PM"",""Tuesday: 8:00 AM – 7:30 PM"",""Wednesday: 8:00 AM – 7:30 PM"",""Thursday: 8:00 AM – 7:30 PM"",""Friday: 8:00 AM – 7:30 PM"",""Saturday: 8:00 AM – 7:30 PM"",""Sunday: Closed""]",3.1,true,true
"ChIJfRMXqVSV9EcR5O8qG4aK0W0","Entretien Service","148 Chemin de Crépieux, 69300 Caluire-et-Cuire, France","04 72 27 13 12","+33 4 72 27 13 12",,"https://maps.google.com/?cid=7913258328852721636","45.8006152, 4.8736749",,,,
"ChIJQSleaEqT9EcRcLL0v8zHcEQ","Océazur, Entretien et Rénovation des piscines","46C Chemin du Moulin Carron, 69570 Dardilly, France","04 78 66 03 47","+33 4 78 66 03 47","http://www.oceazur-piscines.com/","https://maps.google.com/?cid=4931661274178433648","45.8074765, 4.7629497","[""Monday: 8:00 AM – 7:00 PM"",""Tuesday: 8:00 AM – 7:00 PM"",""Wednesday: 8:00 AM – 7:00 PM"",""Thursday: 8:00 AM – 7:00 PM"",""Friday: 8:00 AM – 7:00 PM"",""Saturday: 8:00 AM – 7:00 PM"",""Sunday: 8:00 AM – 7:00 PM""]",2.8,true,true
"ChIJ1S_owmrA9EcRDrtQ23aRCqU","Confogaz","14 Rue Douaumont, 69100 Villeurbanne, France","04 78 80 03 04","+33 4 78 80 03 04","http://www.confogaz.eu/","https://maps.google.com/?cid=11892477705696885518","45.781851, 4.89937","[""Monday: 7:30 AM – 7:00 PM"",""Tuesday: 7:30 AM – 7:00 PM"",""Wednesday: 7:30 AM – 7:00 PM"",""Thursday: 7:30 AM – 7:00 PM"",""Friday: 7:30 AM – 7:00 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",1.9,true,true
"ChIJP06ITMDs9EcRTT1wljONrjQ","CTTN","Avenue Guy de Collongue, 69130 Écully, France",,,"http://www.cttn-iren.com/","https://maps.google.com/?cid=3796126788626693453","45.7872808, 4.7665703",,1,true,
"ChIJXdbbXw3r9EcRjSdQRhOa2DY","CREB Construction Rénovation Entretien Bâtiment","24 Quai Joseph Gillet, 69004 Lyon, France","04 78 39 85 04","+33 4 78 39 85 04","http://www.creb.fr/","https://maps.google.com/?cid=3952078080592324493","45.7743255, 4.811176699999999",,4.7,true,true
"ChIJayme-2Tr9EcRh1vDz5-IGes","Pegaze","30 Rue Saint-Simon, 69009 Lyon, France","04 37 45 33 10","+33 4 37 45 33 10","http://www.pegaze.net/contact-coordonnees-pegaze.html","https://maps.google.com/?cid=16940721693297695623","45.7769699, 4.7967925",,1.9,true,
"ChIJk83gvBzr9EcR8rObyn-WFGg","Garage Cabias - Entretien mécanique - Cartes grises - Carrosserie - Contrôle technique","2 Avenue Cabias, 69004 Lyon, France","04 78 27 00 75","+33 4 78 27 00 75",,"https://maps.google.com/?cid=7499784755082933234","45.774779, 4.826798999999999","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.6,true,true
"ChIJMQbczhrr9EcReIGeERkHwZc","Adag-Caladoise Lyon","19 Rue Bely, 69004 Lyon, France","04 78 39 76 16","+33 4 78 39 76 16","https://www.adagcaladoise.fr/","https://maps.google.com/?cid=10935029174483452280","45.77432719999999, 4.8222133","[""Monday: 7:30 AM – 7:00 PM"",""Tuesday: 7:30 AM – 7:00 PM"",""Wednesday: 7:30 AM – 7:00 PM"",""Thursday: 7:30 AM – 7:00 PM"",""Friday: 7:30 AM – 7:00 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",2.2,true,true
"ChIJewVh157q9EcRoyD6LFJ6dAw","Morel Entretien Immeuble","106 Boulevard du 11 Novembre 1918, 69100 Villeurbanne, France","04 78 17 72 83","+33 4 78 17 72 83",,"https://maps.google.com/?cid=897476719114068131","45.7784251, 4.870927399999999",,,,
