"place_id","rating","language","text","relative_time_description","time"
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",3,"en","ok. but not great","3 months ago",1530531966
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",2,"en","No good work.","a month ago",1534906058
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",3,"en","Correct","10 months ago",1510420017
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",4,"en","Bon service .\n\n","a year ago",1489178499
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",4,"en","OK","8 months ago",1516616028
"ChIJQSleaEqT9EcRcLL0v8zHcEQ",1,"fr","Attention danger !\naprès des travaux non terminés en 2016 par océazur, je découvre des malfaçons en 2017 avec l'aide d'un vrai professionnel  de la piscine ! donc attention danger !","a year ago",1503174461
"ChIJQSleaEqT9EcRcLL0v8zHcEQ",5,"fr","Le meilleur ami pour votre piscine\nLe 5 étoiles pour votre piscine : qualité de service/conseils, une réactivité sans précédent, une équipe à l'écoute et agréable ! Bref ma piscine est enfin devenue un espace de plaisir, merci.\nProfessionnalisme et prix justes.","a year ago",1487149065
"ChIJQSleaEqT9EcRcLL0v8zHcEQ",1,"fr","Si j'avais pu mettre zéro étoile, croyez-moi je n'aurais pas hésité un quart de seconde ! Des gens incapables qui ne viennent même plus alors que le travail n'est pas fini ! Qui font payer une blinde alors qu'on trouve 3 fois moins cher pour une meilleure qualité. Franchement, je ne recommande ABSOLUMENT PAS !!!! Passez votre chemin.","a year ago",1480620053
"ChIJQSleaEqT9EcRcLL0v8zHcEQ",5,"fr","Je suis entièrement satisfait des prestations d'Océazur Dardilly : compétence, disponibilité, accueil, conseils.\nJe recommande chaudement cette entreprise.","a year ago",1495876331
"ChIJQSleaEqT9EcRcLL0v8zHcEQ",2,"fr","Manque de sérieux: chantier non terminé et impossibilité de joindre le responsable technique. A éviter!","4 years ago",1403875796
"ChIJ1S_owmrA9EcRDrtQ23aRCqU",5,"fr","Cliente depuis plusieurs années je suis très satisfaite ! une qualité de service à la hauteur de mes attentes. Service clients très réactif et à l’écoute , Jai demandé un dépannage d’urgence sur ma chaudière le technicien est intervenu dans la journée 😊😊😊 je recommande a 300%","3 weeks ago",1536269535
"ChIJ1S_owmrA9EcRDrtQ23aRCqU",1,"fr","Technicien Nonchalant. il est resté meme pas 5 Mn pour ne pas régler le probleme. a évité si vous pouvez faire autrement","in the last week",1538122034
