"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJi2czkUyT9EcRDjqTNW2ZTQw","Garage De La Tourte","2 Rue des Rosiéristes, 69760 Limonest, France","04 78 35 00 90","+33 4 78 35 00 90",,"https://maps.google.com/?cid=886533395991181838","45.8050873, 4.778583500000001","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4,true,
"ChIJ6UahmhiT9EcRqN3fOXr3LOE","Norauto","N6, 69760 Limonest, France","04 78 66 01 00","+33 4 78 66 01 00","http://centres.norauto.fr/centre/limonest-lyon/021","https://maps.google.com/?cid=16225615661838097832","45.80783519999999, 4.7793074","[""Monday: 8:00 AM – 7:30 PM"",""Tuesday: 8:00 AM – 7:30 PM"",""Wednesday: 8:00 AM – 7:30 PM"",""Thursday: 8:00 AM – 7:30 PM"",""Friday: 8:00 AM – 7:30 PM"",""Saturday: 8:00 AM – 7:30 PM"",""Sunday: Closed""]",3.1,true,true
"ChIJobBYHEyT9EcRFB1U-KgMlR0","Garage Ford","304 N6, 69760 Limonest, France",,,,"https://maps.google.com/?cid=2131623918490098964","45.808801, 4.778892",,3.7,true,true
"ChIJz0HZ36iU9EcRBcLiIUyin48","Garage Saint-Didier","53 Avenue de la République, 69370 Saint-Didier-au-Mont-d'Or, France",,,,"https://maps.google.com/?cid=10349168916590412293","45.8106326, 4.798722",,,,true
"ChIJaRHcic-U9EcREH1-HJ8KTdk","NOUV. GGE DE ST CYR AU MONT D OR","22 Route de Saint-Romain, 69450 Saint-Cyr-au-Mont-d'Or, France","04 78 47 22 00","+33 4 78 47 22 00","http://agents.peugeot.fr/st-cyr-au-mont-d-or","https://maps.google.com/?cid=15658183157931212048","45.811527, 4.825121",,3.7,true,true
"ChIJu6DBLy3r9EcRYkrugDib7p0","AXIAL - GARAGE SAINT RAMBERT","48 Rue des Docteurs Cordier, 69009 Lyon, France","04 78 83 82 17","+33 4 78 83 82 17","http://www.axial.org/garagesaintrambert/","https://maps.google.com/?cid=11380203975395396194","45.8017359, 4.8273174","[""Monday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Tuesday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Wednesday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Thursday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Friday: 7:30 AM – 12:30 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.9,true,true
"ChIJl7E7ONeU9EcRjyNG9y2_waQ","Boulat Frederic","53 Rue de la Chaux, 69450 Saint-Cyr-au-Mont-d'Or, France","06 98 37 24 11","+33 6 98 37 24 11",,"https://maps.google.com/?cid=11871980296868340623","45.81013129999999, 4.8327201",,5,true,
"ChIJU9faoCrr9EcRHdP440_lf_I","Eurorepar De Maria Automobiles","73 Grande Rue de St Rambert, 69009 Lyon, France","04 78 64 64 11","+33 4 78 64 64 11","http://www.eurorepar.fr/dhtml/page-trouvez-votre-eurorepar-10029.php","https://maps.google.com/?cid=17473937210510725917","45.8008876, 4.8355974","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.5,true,true
"ChIJbTlWpTeV9EcRE4OX91RWbfw","GARAGE VAMS vernay auto moto scooter","67 Avenue Général de Gaulle, 69300 Caluire-et-Cuire, France","04 69 84 54 49","+33 4 69 84 54 49",,"https://maps.google.com/?cid=18189289392950444819","45.808783, 4.856171","[""Monday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 7:30 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.9,true,true
"ChIJSUORfE6V9EcR8uDAIvjIOMk","Norauto","96 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 37 40 86 80","+33 4 37 40 86 80","http://centres.norauto.fr/centre/lyon-caluire/254","https://maps.google.com/?cid=14499559968379822322","45.8059146, 4.867717","[""Monday: 8:00 AM – 7:30 PM"",""Tuesday: 8:00 AM – 7:30 PM"",""Wednesday: 8:00 AM – 7:30 PM"",""Thursday: 8:00 AM – 7:30 PM"",""Friday: 8:00 AM – 7:30 PM"",""Saturday: 8:00 AM – 7:30 PM"",""Sunday: Closed""]",3.2,true,true
