"place_id","rating","language","text","relative_time_description","time"
"ChIJi2czkUyT9EcRDjqTNW2ZTQw",4,"fr","Service de qualité, garage semblant peu accessible mais un personnel nombreux fait marché le business avec une grande efficacité. \nCoin carrosserie, peinture, et mécanique.\nToutes marques, le patron est un ancien pilote de rallye, il connaît la mécanique et c'est une passion, la prise en charge de ma voiture est rapide avec un prêt de voiture bien apprécié.","a month ago",1533837963
"ChIJi2czkUyT9EcRDjqTNW2ZTQw",5,"fr","Garage sérieux tenu par des passionnés d'auto !\nRéparation nettement moins cher que chez le concessionnaire (pour ma distribution Peugeot 207), je recommande sans hésiter !","a month ago",1534241549
"ChIJi2czkUyT9EcRDjqTNW2ZTQw",1,"fr","Je confirme, il faut absolument validé le devis à l'avance car ils ne se gênent pas pour faire gonfler la note sans notre accord. Verifiez chaque action effectuée sur le véhicule avant de payer.\nUne secrétaire extrêmement sympathique et souriante malgré un patron malhonnête","6 months ago",1520543830
"ChIJi2czkUyT9EcRDjqTNW2ZTQw",5,"fr","Venu pour un debosselage sur tout l'avant et coté de ma voiture avec en + une peinture noir brillant à effectué et le resultat est nickel.\nEquipe au top avec de vrai connaissances!\nTrès sympa et pro.\nRapide, efficace 😉😊","6 months ago",1520969007
"ChIJi2czkUyT9EcRDjqTNW2ZTQw",5,"fr","Très bon accueil à chaque fois, mécaniciens très compétents désireux de donner satisfaction, et rapidité d’action.","5 months ago",1523451209
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",3,"en","ok. but not great","3 months ago",1530531966
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",2,"en","No good work.","a month ago",1534906058
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",3,"en","Correct","10 months ago",1510420017
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",4,"en","Bon service .\n\n","a year ago",1489178499
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",4,"en","OK","8 months ago",1516616028
"ChIJobBYHEyT9EcRFB1U-KgMlR0",1,"fr","J'ai amené ma Ford Fiesta pour un souci moteur. On m'a annoncé qu'il fallait changer tous les injecteurs. Devis dans les 3 000 €. Ils m'ont ensuite dit que ma voiture ne valait pas plus de 800 € à la revente sans les réparations. Du coup, j'ai eu la chance de faire appel à une connaissance qui dispose d'une valise de diag. Il n'y avait qu'un connecteur qui était débranché !!! Ca ne m'a coûté que 50 €. Et j'ai pu revendre ma voiture 3 800 €. A chacun de juger par rapport à mon expérience. En tout cas, ils ne me reverront plus !","a month ago",1535639448
"ChIJobBYHEyT9EcRFB1U-KgMlR0",5,"fr","Bon accueil travail sérieux","5 months ago",1524827203
"ChIJobBYHEyT9EcRFB1U-KgMlR0",5,,"","6 months ago",1521740837
"ChIJaRHcic-U9EcREH1-HJ8KTdk",5,"fr","Accueil super trouve toujours une solution par rapport aux budget travail très bien bref super...","a week ago",1537866053
