"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJhwPwZXvr9EcRVIN2DiUnpGg","Béal Télévision Service","6 Passage du Béal, 69009 Lyon, France","04 78 64 21 01","+33 4 78 64 21 01",,"https://maps.google.com/?cid=7540194716234974036","45.7728535, 4.794616100000001",,,,
"ChIJV2L5EO7q9EcRT-4gsdc7azM","Gilles Campoy","44 Rue Lieutenant Colonel Prévost, 69006 Lyon, France","04 78 89 94 23","+33 4 78 89 94 23","http://www.le-sav.com/","https://maps.google.com/?cid=3705120916018097743","45.7735142, 4.8466138","[""Monday: 8:00 AM – 12:30 PM, 2:00 – 6:30 PM"",""Tuesday: 8:00 AM – 12:30 PM, 2:00 – 6:30 PM"",""Wednesday: 8:00 AM – 12:30 PM, 2:00 – 6:30 PM"",""Thursday: 8:00 AM – 12:30 PM, 2:00 – 6:30 PM"",""Friday: 8:00 AM – 12:30 PM, 2:00 – 6:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.2,true,true
"ChIJWywx__7q9EcRzEyaE6EmMaY","Right on time","6 Rue Paul Chenavard, 69001 Lyon, France","04 72 98 35 47","+33 4 72 98 35 47",,"https://maps.google.com/?cid=11975395357415328972","45.76661399999999, 4.832762999999999","[""Monday: Closed"",""Tuesday: 10:00 AM – 1:00 PM, 2:30 – 7:00 PM"",""Wednesday: 10:00 AM – 1:00 PM, 2:30 – 7:00 PM"",""Thursday: 10:00 AM – 1:00 PM, 2:30 – 7:00 PM"",""Friday: 10:00 AM – 1:00 PM, 2:30 – 7:00 PM"",""Saturday: 10:00 AM – 1:00 PM, 2:30 – 7:00 PM"",""Sunday: Closed""]",3.8,true,true
"ChIJ3X0PI1rq9EcR8DBVHrYf3so","Astral Sa","20 Quai Victor Augagneur, 69003 Lyon, France","04 78 60 71 19","+33 4 78 60 71 19","http://www.astral-lyon.com/","https://maps.google.com/?cid=14618156307544617200","45.75848329999999, 4.8412632","[""Monday: Closed"",""Tuesday: 9:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 9:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 9:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 9:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: 9:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Sunday: Closed""]",4.4,true,true
"ChIJm9vcH9HB9EcRXdHkxL45MmU","S.R.P.M. Réparation et Pièces Détachées Électroménager Lyon Villeurbanne","27 Route de Genas, 69100 Villeurbanne, France","04 72 34 88 38","+33 4 72 34 88 38","http://www.srpm-sav.com/","https://maps.google.com/?cid=7291954238176153949","45.755025, 4.877625999999999","[""Monday: Closed"",""Tuesday: 9:30 AM – 6:00 PM"",""Wednesday: 9:30 AM – 6:00 PM"",""Thursday: 9:30 AM – 6:00 PM"",""Friday: 9:30 AM – 6:00 PM"",""Saturday: 9:30 AM – 12:30 PM"",""Sunday: Closed""]",4.1,true,true
"ChIJ_____7Tr9EcReowLDvlWIfI","DPM","45 Quai Dr Gailleton, 69002 Lyon, France","04 78 42 74 92","+33 4 78 42 74 92",,"https://maps.google.com/?cid=17447322059092495482","45.749792, 4.831217","[""Monday: 9:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 9:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 9:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 9:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 9:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Saturday: 9:00 AM – 12:00 PM"",""Sunday: Closed""]",4.5,true,
"ChIJKYY_XXjq9EcRMlW4_HEPj2E","ABC Pare Brise","182 Avenue Félix Faure, 69003 Lyon, France","04 72 13 31 20","+33 4 72 13 31 20","http://www.mondialparebrise.fr/","https://maps.google.com/?cid=7029854525594293554","45.7546618, 4.869274599999999",,,,
"ChIJiVdKMi3q9EcR3D8kz7Av6YA","HTR-Informatique","59 Avenue Leclerc, 69007 Lyon, France","06 03 52 70 24","+33 6 03 52 70 24","http://htr-informatique.fr/","https://maps.google.com/?cid=9289008142864367580","45.73417300000001, 4.8247371","[""Monday: Closed"",""Tuesday: Closed"",""Wednesday: 9:00 AM – 6:00 PM"",""Thursday: 9:00 AM – 6:00 PM"",""Friday: 9:00 AM – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",3,true,true
"ChIJXz24qVi-9kcRwHgxjUm2TGo","ATELIER FRED AUTO","20 Rue Jean Chevailler, 69008 Lyon, France","04 78 75 88 93","+33 4 78 75 88 93","http://www.autoprimo.com/","https://maps.google.com/?cid=7659697493268068544","45.7342773, 4.862167","[""Monday: 7:45 AM – 12:00 PM, 1:45 – 6:30 PM"",""Tuesday: 7:45 AM – 12:00 PM, 1:45 – 6:30 PM"",""Wednesday: 7:45 AM – 12:00 PM, 1:45 – 6:30 PM"",""Thursday: 7:45 AM – 12:00 PM, 1:45 – 6:30 PM"",""Friday: 7:45 AM – 12:00 PM, 1:45 – 6:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.9,true,true
"ChIJxSKl6v_p9EcRYD35o-dEZfE","Mannes Lyon","21 Rue Georges Marrane, 69200 Vénissieux, France","04 78 78 94 94","+33 4 78 78 94 94","http://www.mannes.fr/","https://maps.google.com/?cid=17394384897467563360","45.7234158, 4.8625718","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.1,true,true
