"place_id","rating","language","text","relative_time_description","time"
"ChIJV2L5EO7q9EcRT-4gsdc7azM",1,"en","One star for the bought replacement part. Original for our Moulinex device.\nNo stars for the delivery time (around a month late) and lack of professional packaging (very small and light letters printing and addressee sticker placed on the wrong place on the envelope) and email replies due to very late delivery between France and Germany.\nNever offered to find a quick and responsible solution to the delivery problem and only gave us the tracking number which was almost useless.\nAs the package did not arrive on time, we requested to have our money refund and they refused.\nI will not buy here ever again and surely will not recommend it to anyone.","5 months ago",1524221814
"ChIJV2L5EO7q9EcRT-4gsdc7azM",5,"fr","Ce site découvert par hasard lors de mes recherches sur internet, m'a fait découvrir une société  très proche de ses clients.\nD'une réactivité et d'une aide personnalisée incomparable  afin de répondre au mieux à nos attentes.\nUn grand merci pour votre aide précieuse,nous offrant la possibilité  au quotidien de faire de substantielles économies en nous permettant de réparer à moindre coût nos appareils.\nTrès Cordialement.\nP.Quare.","a month ago",1534968799
"ChIJV2L5EO7q9EcRT-4gsdc7azM",2,"fr","Catalogue bien fourni en pièces détachées, pas de soucis sur ça.\n\nJ’ai effectué une commande il y a 3 semaines : aucune information concernant son avancée, mais le paiement a bien été accepté …\n\nD’autres sites proposent également les mêmes services, je pensais être satisfait en ayant lu quelques avis, mais au final la livraison et le suivi sont peut-être meilleurs ailleurs … dommage.","2 weeks ago",1537012117
"ChIJV2L5EO7q9EcRT-4gsdc7azM",1,"fr","Il y a quelques années je fais la route depuis Toulon (si, si) pour y déposer l'autoradio en personne et expliquer le problème. À partir du moment où il a été déposé, j'attends quelques semaines et ne reçois aucune nouvelle. J'appelle je ne sais pas combien de fois dans les semaines et mois qui suivent, aucun nouvelle. J'envoie même un recommandé tellement il est difficile d'avoir quelqu'un en ligne, et toujours rien. Je demande alors que l'appareil me soit rendu, même non réparé et au téléphone (youpi, j'ai réussi à avoir quelqu'un !), on me dit que l'appareil est introuvable (super pro ça !). Que penser ? Évidemment, je n'ai jamais reçu mon autoradio, je ne sais pas ce qu'ils en ont fait de leur côté. Et évidemment les 70€ pour effectuer le devis m'ont été débités et jamais rendus.\n\nBref, merci pour le service non rendu, la prochaine que j'ai besoin de faire réparer un autoradio, je sais qu'il ne faut pas venir chez vous.","a week ago",1537421956
"ChIJV2L5EO7q9EcRT-4gsdc7azM",5,"fr","Extrêmement satisfait de ma transaction : expertise et précision des renseignements fournis par courriel + rapidité d’envoi de la pièce commandée + conformité avec la commande + cordialité des contacts. Comment faire mieux ? Bravo. Merci. Je vous recommande autour de moi.","2 months ago",1531815717
"ChIJWywx__7q9EcRzEyaE6EmMaY",1,"en","not very interesting, expensive, not honest.\nI do not recommend, they can't repair my watch windows. \nnot really welcoming with strangers.\ni try other, they do the job !\nthey are probably lot of best shop like this in this city !","2 months ago",1531335314
"ChIJWywx__7q9EcRzEyaE6EmMaY",4,"fr","Ma montre avait a priori besoin d'un remontage d'aiguille, qui était allée se balader dans le cadran suite à une chute.\nLe jeune homme de la boutique a été très souriant et aimable, a vérifié ma pile (et ne l'a pas changé parce qu'elle était encore bonne ! J'apprécie savoir que je peux faire confiance pour ne pas avoir de frais inutiles) et a réparé ma montre en 30 minutes !\nCeci pour une quinzaine d'euros, ce qui m'a semblé raisonnable pour un petit commerce indépendant.\nJ'étais très contente du service (rapidité, efficacité et intégrité).","3 months ago",1528867430
"ChIJWywx__7q9EcRzEyaE6EmMaY",5,"fr","Changé un bracelet de montre il y a quelques semaines chez eux. Très bon service, rapide et de qualité. Rien à redire.","2 months ago",1530967848
"ChIJWywx__7q9EcRzEyaE6EmMaY",5,"fr","Très bon accueil et une réparation ultra rapide de la couronne de ma VULCAIN CRICKET NAUTICAL (24h !). Merci aux équipes de Pile à L'heure, je reviendrai à coup sûr ! 5/5","2 months ago",1531125519
"ChIJWywx__7q9EcRzEyaE6EmMaY",5,"fr","Un vrai horloger en déplaise au nombreuses personnes qui souhaitent une réparation minute dans l'immédiat et qui oublie qu'il s'agit d'un métier MANUEL nécessitant des actions mécanique sur leur montre. Un horloger connaissant son métier et qui préférera garder votre montre plus longtemps plutôt que de réaliser un travail de malpropre. Un grand bravo et un immense respect pour continuer de faire vivre un métier incompris et en disparition. Cerise sur le gâteau des tarifs à des prix abordable bref une très belle adresse","8 months ago",1515880593
"ChIJ3X0PI1rq9EcR8DBVHrYf3so",5,"fr","Électroménager de qualité, accueil, conseil et livraison au top !","9 months ago",1512806653
"ChIJ3X0PI1rq9EcR8DBVHrYf3so",1,"fr","De belles marques ... mais c'est tout. Attitude commerciale déplorable. Nous sommes très déçus.","a year ago",1506685879
"ChIJ3X0PI1rq9EcR8DBVHrYf3so",5,"fr","De belles machines Miele !","a year ago",1503426059
"ChIJ3X0PI1rq9EcR8DBVHrYf3so",5,,"","a month ago",1535632988
"ChIJ3X0PI1rq9EcR8DBVHrYf3so",5,,"","2 months ago",1530864709
"ChIJm9vcH9HB9EcRXdHkxL45MmU",5,"fr","personnel à l'écoute d'une grande conscience professionnelle qui nous a aidé à résoudre notre problème . grande réactivité sur la disponibilité des produits","3 weeks ago",1536567058
"ChIJm9vcH9HB9EcRXdHkxL45MmU",5,"fr","Août 2017. Un sérieux pas possible, impossible de trouver mieux.\nGentillesse, serviabilité, professionnalisme, rapidité... LE TOP !!\nUn grand merci pour mon aspirateur réparé et comme neuf.\nLes 4, ou 5 pinces à linge, trouvées à l'intérieur, nous ont bien fait rire.","4 months ago",1525968811
"ChIJm9vcH9HB9EcRXdHkxL45MmU",5,"fr","Petite boutique familial très efficace , mon four  avait lâché il mon contacté avant de faire les réparations pour valider le devis .ensuite  J'ai pu venir le chercher rapidement .le  Personnel très sympathique . Je recommande vivement cet atelier de réparation indépendant .","3 months ago",1529050908
"ChIJm9vcH9HB9EcRXdHkxL45MmU",5,"fr","Personnel toujours à l'écoute et prêt à vous rendre service . Ne pousse pas à l'achat et c'est bien agréable ! Boutique de confiance.","4 months ago",1527492876
"ChIJm9vcH9HB9EcRXdHkxL45MmU",5,"fr","Un couple super pro,à l'accueil comme à l'atelier ,qui ont tous mis en oeuvre pour réparer mon robot magimix cook expert. \n\nJe vous remercie et vous recommande  vivement. \nCordialement","9 months ago",1515146935
"ChIJ_____7Tr9EcReowLDvlWIfI",5,"fr","Maison sérieuse, je recommande le travail est soigné et digne de confiance.","6 months ago",1522656166
"ChIJ_____7Tr9EcReowLDvlWIfI",5,"fr","J'ai fait réparer plusieurs appareils, sans aucun souci. Couple très sympathique et efficace. Délais très correctes. Le magasin mérite une mise en ordre plus fréquente.\nAlvaro","a year ago",1501852105
"ChIJ_____7Tr9EcReowLDvlWIfI",5,"fr","Reparateur rapide et tres bons conseilles","10 months ago",1510771408
"ChIJ_____7Tr9EcReowLDvlWIfI",5,"fr","j'ai fait réparer une centrale vapeur (DPM m'a prêté une centrale en attendant). J'ai aussi fait réparer un aspirateur. Très bon service, tarifs hyper tirés, et  un couple très accueillant et honnête sur les solutions proposées.","a year ago",1496328378
"ChIJ_____7Tr9EcReowLDvlWIfI",4,"fr","Donne de bon conseils à celui qui bricole également. Merci","a year ago",1502179341
"ChIJiVdKMi3q9EcR3D8kz7Av6YA",1,"fr","Les horraires... stp","3 months ago",1529921750
"ChIJiVdKMi3q9EcR3D8kz7Av6YA",5,"fr","Réparation impeccable avec un prix imbattable.\nEddy nous tiens informé de l'état d'avancement.\nAdresse à retenir pour d'éventuelles réparation de PC, Tablette ou Smartphone","9 months ago",1513872065
"ChIJXz24qVi-9kcRwHgxjUm2TGo",5,"fr","Un vrai mécano efficace, bienveillant, et surtout dont le service est expliqué et arrangeant.\nBref, j'avais un soucis (le type qui vous empêche de rouler à plus de 10km/h, voir photo pour la rigolade où j'avais du utiliser une corde pour venir à l'atelier), en 30min c'était réglé pour un dépanage en urgence. Merci !","a month ago",1535205002
"ChIJXz24qVi-9kcRwHgxjUm2TGo",5,"fr","Un vrai pro de l'automobile, soigneux et méticuleux, mécanicien à l'ancienne comme on en trouve presque plus ! ","a year ago",1501312514
"ChIJXz24qVi-9kcRwHgxjUm2TGo",5,"fr","Très bon mécanicien","4 months ago",1526983215
"ChIJXz24qVi-9kcRwHgxjUm2TGo",4,"fr","Très professionnelle mais il faut pas être presser et stresser par le temps car il est seul et ça sent la retraite.personne  très bienveillante ","a year ago",1499163195
"ChIJXz24qVi-9kcRwHgxjUm2TGo",5,"fr","Compétences et accueil ","a year ago",1489295201
"ChIJxSKl6v_p9EcRYD35o-dEZfE",2,"fr","Comment faire confiance à une personne qui vous explique une panne qu'il n'a lui même pas compris. Quel manque de professionnalisme !\nPlus de 100 euros pour entendre dire qu'une durite est à remplacer !!!\nBien sur ils n'ont pas la pièce, donc re-rendez-vous chez eux ... ou ailleurs.","3 weeks ago",1536226894
"ChIJxSKl6v_p9EcRYD35o-dEZfE",1,"fr","écrou non serré sur barre stabilice obligé de finir le travail , facturation de graissage des 2 silentblocs , après contrôle 1 seul avait été graissé . facturation 50 euros pour travail bâclé  + remise d un devis pour remise en etat du train avant qui comprenait le changement complet alors des pièces avait été changée 8 mois avant .... du travail mercedes ... on change tout  et on est sur que ça marche","4 weeks ago",1536040509
"ChIJxSKl6v_p9EcRYD35o-dEZfE",4,"fr","je recommande cet etablissement , la reception du vehicule est tres professionnelle ,les délais d'interventions sont trés courts,et le travail\nest sérieux","a month ago",1534690337
"ChIJxSKl6v_p9EcRYD35o-dEZfE",5,"fr","Contrairement aux concessionnaires, très grand professionnalisme du personnel de Mannes qui ne vous proposera jamais de prestations coûteuses et inutiles sur votre voiture. La révision coûte en moyenne 30p de moins que chez le concessionnaire de votre marque de voiture.\nPrend en charge Mercedes, Smart, VW, Audi et BMW.","3 months ago",1530219868
"ChIJxSKl6v_p9EcRYD35o-dEZfE",5,"fr","Comme je ne supportais plus l'arrogance des concessions Audi, je suis allé chez Mannes Lyon  pour un entretien : très bon accueil et service. Tarifs très compétitifs. Bilan des travaux à prévoir bien expliqué. Ils ont décelé une plaque de protection abimée sous la voiture et proposent un remplacement avec pièces d'origine. Bravo et merci à l'équipe.","6 months ago",1521803451
"ChIJJU7sQRbC9EcRxFIKNcabHeU",1,"fr","Prise en charge très très limite ! Bientôt 2 mois sans plaque de cuisson, aucun prêt, aucun remplacement anticipé... Et tout cela est normal pour les réparateurs ! Ils ne comprennent pas ma colère !\nDe plus les personnes contactées par téléphone ne sont pas aimables du tout et mériteraient une formation sur la communication !!!!\nCela ne mérite même pas d'étoile !!!\n\nEn réponse : \nLa société de réparation est peut être celle de Seez mais en attendant c'est votre équipe que j'ai au bout du fil.. merci !","a month ago",1533371129
