"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJQSleaEqT9EcRhX2HkcP8Shw","Grammer France Sarl","1 Rue des Vergers, 69760 Limonest, France","04 78 66 82 00","+33 4 78 66 82 00","https://www.grammer.com/en/locations/emea/france.html","https://maps.google.com/?cid=2038719698228968837","45.8067807, 4.772562600000001",,,,
"ChIJu6DBLy3r9EcRYkrugDib7p0","AXIAL - GARAGE SAINT RAMBERT","48 Rue des Docteurs Cordier, 69009 Lyon, France","04 78 83 82 17","+33 4 78 83 82 17","http://www.axial.org/garagesaintrambert/","https://maps.google.com/?cid=11380203975395396194","45.8017359, 4.8273174","[""Monday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Tuesday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Wednesday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Thursday: 7:30 AM – 12:30 PM, 2:00 – 7:00 PM"",""Friday: 7:30 AM – 12:30 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.9,true,true
"ChIJU9faoCrr9EcRHdP440_lf_I","Eurorepar De Maria Automobiles","73 Grande Rue de St Rambert, 69009 Lyon, France","04 78 64 64 11","+33 4 78 64 64 11","http://www.eurorepar.fr/dhtml/page-trouvez-votre-eurorepar-10029.php","https://maps.google.com/?cid=17473937210510725917","45.8008876, 4.8355974","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.5,true,true
"ChIJSUORfE6V9EcR8uDAIvjIOMk","Norauto","96 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 37 40 86 80","+33 4 37 40 86 80","http://centres.norauto.fr/centre/lyon-caluire/254","https://maps.google.com/?cid=14499559968379822322","45.8059146, 4.867717","[""Monday: 8:00 AM – 7:30 PM"",""Tuesday: 8:00 AM – 7:30 PM"",""Wednesday: 8:00 AM – 7:30 PM"",""Thursday: 8:00 AM – 7:30 PM"",""Friday: 8:00 AM – 7:30 PM"",""Saturday: 8:00 AM – 7:30 PM"",""Sunday: Closed""]",3.2,true,true
"ChIJ3Uz1XFCV9EcRJQTIPEbEqes","Atlantic Automobiles & Lyon Elite Motors","120 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 78 23 11 06","+33 4 78 23 11 06","http://www.autocerdo-opel.com/","https://maps.google.com/?cid=16981319675923661861","45.80815699999999, 4.871098000000001","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: 8:30 AM – 12:00 PM, 2:00 – 6:30 PM"",""Sunday: Closed""]",3.4,true,true
"ChIJ8wD2bt2_9EcRwNiPtTSvvOQ","Top Garage Rillieux la pape","191 Avenue Victor Hugo, 69140 Rillieux-la-Pape, France","04 78 97 05 58","+33 4 78 97 05 58","https://reseau.top-garage.fr/205389-garage-petes?utm_source=google&utm_medium=places&utm_campaign=20140606vc","https://maps.google.com/?cid=16482241377188436160","45.8192769, 4.891016599999999","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.7,true,
"ChIJj-HMbeG_9EcRun7nTbSRjWk","Ford Turbo 2000","209 Rue Mercières, Parc d'Activités de l'Hippodrome, 69140 Rillieux-la-Pape, France","04 78 97 37 37","+33 4 78 97 37 37","http://www.ford-turbo-2000.com/","https://maps.google.com/?cid=7605895549285793466","45.81466169999999, 4.8822841","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 7:00 PM"",""Saturday: 9:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Sunday: Closed""]",4.1,true,true
"ChIJW9aRrvu_9EcR00DOTKquaMI","Carrosserie de la Pape SARL","53 Route de Genève, 69140 Rillieux-la-Pape, France","04 78 88 50 84","+33 4 78 88 50 84",,"https://maps.google.com/?cid=14008638687392186579","45.8064444, 4.887338100000001","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.3,true,true
"ChIJdzUcdeK_9EcReSdGIqE7AiM","Centre Auto Feu Vert Rilleux La Pape","Avenue de l'Hippodrome, 69140 Rillieux-la-Pape, France","04 78 88 33 30","+33 4 78 88 33 30","https://www.feuvert.fr/centres-auto/rillieux-la-pape/feu-vert-rillieux/5.html?setcenter=5","https://maps.google.com/?cid=2522644304531695481","45.813649, 4.881382","[""Monday: 8:30 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 8:30 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 8:30 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 8:30 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 8:30 AM – 12:00 PM, 2:00 – 6:30 PM"",""Saturday: 9:00 AM – 12:30 PM, 1:30 – 6:30 PM"",""Sunday: Closed""]",3.3,true,true
"ChIJEdNQFMrs9EcRwsqzb458VG8","Passion Automobiles Prestige","2 Chemin des Cuers, 69570 Dardilly, France","04 72 29 12 29","+33 4 72 29 12 29","http://www.lyon.bentleymotors.com/","https://maps.google.com/?cid=8022173787454950082","45.80084859999999, 4.769596199999999",,3.7,true,true
"ChIJ68chDDrr9EcRzTx8ubQ3cUc","Eurorepar A. D. A.","23 Rue Joannes Carret, 69009 Lyon, France","04 78 83 37 47","+33 4 78 83 37 47","http://www.eurorepar.fr/dhtml/page-trouvez-votre-eurorepar-10029.php","https://maps.google.com/?cid=5147957098406755533","45.79264269999999, 4.8192406",,,,true
"ChIJdQBT27bq9EcRE8RnkR6wo5k","Ad Carrosserie Auto Garage Caluire","3 Avenue des Cottages, 69300 Caluire-et-Cuire, France","04 78 23 24 54","+33 4 78 23 24 54","https://www.ad.fr/garage/ad-carrosserie-auto-garage-caluire","https://maps.google.com/?cid=11070885954341815315","45.793852, 4.8603445","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.5,true,true
"ChIJHa-6kePq9EcRJ-8l-R3N0Wk","Garage Célu","12 Rue Albert Thomas, 69300 Caluire-et-Cuire, France","04 72 07 94 74","+33 4 72 07 94 74",,"https://maps.google.com/?cid=7625101172732718887","45.7917849, 4.839979","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.2,true,true
"ChIJh11T5rvs9EcR5kuTATcYDEg","Feu Vert Services Ecully","Centre Commercial Carrefour Le Pérollier, 69130 Écully, France","04 78 33 58 41","+33 4 78 33 58 41","https://www.feuvert.fr/centres-auto/ecully/feu-vert-services-ecully/387.html","https://maps.google.com/?cid=5191551094980037606","45.7857286, 4.7757774","[""Monday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Tuesday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Wednesday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Thursday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Friday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Saturday: 8:30 AM – 12:30 PM, 1:30 – 7:31 PM"",""Sunday: Closed""]",2.7,true,true
"ChIJHUCEFZXs9EcROyzfAxT99a4","Feu Vert Auto Center Ecully","Centre Commercial du Perollier, Chemin de Pontet et Crases, 69130 Écully, France","04 72 86 01 30","+33 4 72 86 01 30","https://www.feuvert.fr/centres-auto/ecully/feu-vert-ecully/334.html?setcenter=334","https://maps.google.com/?cid=12607260994299702331","45.7854634, 4.7762498","[""Monday: 8:30 AM – 7:00 PM"",""Tuesday: 8:30 AM – 7:00 PM"",""Wednesday: 8:30 AM – 7:00 PM"",""Thursday: 8:30 AM – 7:00 PM"",""Friday: 8:30 AM – 7:00 PM"",""Saturday: 8:30 AM – 7:00 PM"",""Sunday: Closed""]",2.8,true,true
"ChIJGX-bpKPs9EcRQ5jiYO6D-h8","Smart Star 69","4 Chemin Jean-Marie Vianney, 69130 Écully, France","04 72 18 00 18","+33 4 72 18 00 18","http://www.smartlyon.fr/","https://maps.google.com/?cid=2304299219204347971","45.7857458, 4.7835739","[""Monday: 8:30 AM – 7:00 PM"",""Tuesday: 8:30 AM – 7:00 PM"",""Wednesday: 8:30 AM – 7:00 PM"",""Thursday: 8:30 AM – 7:00 PM"",""Friday: 8:30 AM – 7:00 PM"",""Saturday: 9:00 AM – 7:00 PM"",""Sunday: Closed""]",4,true,true
"ChIJfbun99_q9EcRtBjn9dCSPRM","GARAGE SALIGNAT PEUGEOT","44 Rue Coste, 69300 Caluire, France","04 78 29 43 00","+33 4 78 29 43 00","http://www.garage-caluire.fr/","https://maps.google.com/?cid=1386425686476396724","45.78470709999999, 4.833313200000001","[""Monday: 7:00 AM – 12:00 PM, 1:30 – 6:30 PM"",""Tuesday: 7:00 AM – 12:00 PM, 1:30 – 6:30 PM"",""Wednesday: 7:00 AM – 12:00 PM, 1:30 – 6:30 PM"",""Thursday: 7:00 AM – 12:00 PM, 1:30 – 6:30 PM"",""Friday: 7:00 AM – 12:00 PM, 1:30 – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",1.9,true,true
"ChIJA7cR-xfA9EcR4_GJ1TH0id0","Eurorepar Garage Longchamps","5 Rue Longchamps, 69100 Villeurbanne, France","04 78 94 94 30","+33 4 78 94 94 30","http://www.eurorepar.fr/dhtml/page-trouvez-votre-eurorepar-10029.php","https://maps.google.com/?cid=15963558849064595939","45.7811907, 4.8868901",,3,true,true
"ChIJC_7BmGrA9EcR4gLDdv53Ysk","Central Verdun Automobiles","66 Rue de Verdun, 69100 Villeurbanne, France","04 27 44 10 79","+33 4 27 44 10 79",,"https://maps.google.com/?cid=14511292884139049698","45.7805583, 4.898235400000001",,2.8,true,
"ChIJAWszZmXr9EcR5wL3Z7-POvY","SPEEDY","80 Rue Marietton, 69009 Lyon, France","04 78 43 45 99","+33 4 78 43 45 99","http://centres-auto.speedy.fr/garage/lyon-marieton-69009/124","https://maps.google.com/?cid=17742651734225257191","45.7763263, 4.7988455",,2.6,true,true
"ChIJF5gcwf7q9EcRUrRmNzVzX1c","Garage Roubi","21 Rue du Sergent Michel Berthet, 69009 Lyon, France","04 78 83 27 01","+33 4 78 83 27 01","http://www.garageroubi.com/","https://maps.google.com/?cid=6295877476487181394","45.7726523, 4.805579799999999","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Saturday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Sunday: Closed""]",2.7,true,true
"ChIJ2VgiSBPr9EcRvqMlYJCbu6k","Crotta et Cie","44 Quai Joseph Gillet, 69004 Lyon, France","04 78 29 81 38","+33 4 78 29 81 38",,"https://maps.google.com/?cid=12230540257445389246","45.77791149999999, 4.8110512",,4.8,true,
