"place_id","rating","language","text","relative_time_description","time"
"ChIJu6DBLy3r9EcRYkrugDib7p0",5,"fr","Accueil parfait. Employés et patron avenants. A votre écoute pour l’entretien ou réparation sur le véhicule. Vous conseil au mieux selon vos possibilités et urgences (ne force pas à la consommation comme les succursales).\nGarage où l’on retrouve le conseil et la confiance du « petit garagiste de proximité ». En plus, entretien et réparation toutes marques. Etant moi-même très maniaque, le véhicule est rendu après chaque intervention sans aucun défaut (interventions faites dans les règles de l’art).\nJe recommande vivement cet établissement pour ses bons conseils, son professionnalisme et son accueil.","6 months ago",1521444028
"ChIJu6DBLy3r9EcRYkrugDib7p0",5,"fr","Une personne pro et à l'écoute de ses clients .","in the last week",1538078939
"ChIJu6DBLy3r9EcRYkrugDib7p0",5,"fr","Très sympa, très sérieux, merci! \n(je pense que ceux qui laissent des mauvais avis sont ceux qui ont eu affaire au chef d'atelier, il est effectivement désagréable)","5 months ago",1524749215
"ChIJu6DBLy3r9EcRYkrugDib7p0",5,"fr","Excellent accueil, beaucoup de professionnalisme, je suis en totale confiance lorsque je laisse mon véhicule entre les mains de ce garage, m' appelle dès que des travaux non prévus sont constatés afin d'avoir mon accord. Je recommande vivement.","a year ago",1505645137
"ChIJu6DBLy3r9EcRYkrugDib7p0",4,"fr","Un garagiste à votre écoute,professionnel et efficace,\navec des tarifs très corrects.\nBref,un garage comme on aimerais en trouver plus souvent.","11 months ago",1508501966
"ChIJU9faoCrr9EcRHdP440_lf_I",1,"fr","Un pur escroc !! Je suis allé pour faire une purge de liquide de frein résultat 120€!!!\n\nIl s'est en plus bien foutu de ma gueule car je n'arrivais pas à le faire moi-même !","7 months ago",1518294859
"ChIJU9faoCrr9EcRHdP440_lf_I",5,"fr","garagiste cool et très pro . facture plus que raisonnable .","7 months ago",1519991562
"ChIJU9faoCrr9EcRHdP440_lf_I",5,"fr","Toujours dispo","4 months ago",1525939049
"ChIJU9faoCrr9EcRHdP440_lf_I",5,"fr","A réalisé de nombreux révision et travaux. Le travail a toujours été fait avec le plu grand sérieux. Super garage, avec des prix compétitif","a year ago",1493018782
"ChIJU9faoCrr9EcRHdP440_lf_I",5,"fr","Excellent travail! Ils avaient toutes les pièces qu'il fallait pour la réparation de ma petite voiture et le personnel était agréable. Le prix était très correct. Merci encore pour votre efficacité!","2 years ago",1463668383
"ChIJSUORfE6V9EcR8uDAIvjIOMk",5,"en","You can find all the things you need","7 months ago",1518811080
"ChIJSUORfE6V9EcR8uDAIvjIOMk",5,"en","Top","4 months ago",1527974996
"ChIJSUORfE6V9EcR8uDAIvjIOMk",3,"en","Correct","9 months ago",1512856745
"ChIJSUORfE6V9EcR8uDAIvjIOMk",5,"en","cool","10 months ago",1511720798
"ChIJSUORfE6V9EcR8uDAIvjIOMk",1,"fr","Pas contente du tout, lors d' une révision on m'ajoute des disques de freins avec les plaquettes alors que les disques étaient encore bons. De plus ils n'ont jamais su me remettre mon compteur correct pour la prochaine INSPec. de la révision j'y suis retournée 3 fois....","in the last week",1538388799
"ChIJ3Uz1XFCV9EcRJQTIPEbEqes",4,"fr","Toujours prêt à arranger le client.\nSecrétaire au top.\nChef d'atelier au top aussi, il aime son métier.","5 months ago",1524069017
"ChIJ3Uz1XFCV9EcRJQTIPEbEqes",5,"fr","Équipe au top","in the last week",1537958614
"ChIJ3Uz1XFCV9EcRJQTIPEbEqes",1,"fr","A fuir absolument! J'ai fais la grossière erreur d'accorder ma confiance a leur commercial!! Ce dernier m'a incité à poser un acompte (encaissé) pour la réservation d'un véhicule en attendant l'accord de ma banque pour un crédit. Il m'a assuré qu'il n'y aurait aucun problème pour récupérer mon acompte en cas de rétractation dans les délais ou si la demande de crédit n'était pas acceptée. La demande de crédit a été refusée et je me suis donc retractée par courrier recommandé dans le délai légal de rétractation. Cela fait plus d'1 mois maintenant et je n'ai toujours pas pu récupérer mon acompte. Le commercial me balade à chaque fois que j'appelle et me demande de patienter encore et encore!! Bref, un conseil fuyez et d'accorder aucun crédit à leur commercial qui a l'air très honnête en apparence, mais en apparence seulement!","a year ago",1505288827
