"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJz2HXDEyV9EcRRrLbKIDF7yM","Midas Caluire","86 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 78 23 85 85","+33 4 78 23 85 85","http://centre.midas.fr/188062-midas-caluire","https://maps.google.com/?cid=2589505464993296966","45.8042263, 4.8636433","[""Monday: 8:00 AM – 6:30 PM"",""Tuesday: 8:00 AM – 6:30 PM"",""Wednesday: 8:00 AM – 6:30 PM"",""Thursday: 8:00 AM – 6:30 PM"",""Friday: 8:00 AM – 6:30 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",4.1,true,
"ChIJXWT2UhXr9EcRafqmUC-3uAY","Conseil Contrôle Révision (C.C.R)","12 Quai du Commerce, 69009 Lyon, France","04 78 43 49 42","+33 4 78 43 49 42",,"https://maps.google.com/?cid=484338373786794601","45.78344480000001, 4.811357600000001",,,,
"ChIJAWszZmXr9EcR5wL3Z7-POvY","SPEEDY","80 Rue Marietton, 69009 Lyon, France","04 78 43 45 99","+33 4 78 43 45 99","http://centres-auto.speedy.fr/garage/lyon-marieton-69009/124","https://maps.google.com/?cid=17742651734225257191","45.7763263, 4.7988455",,2.6,true,true
"ChIJjX4H0Rrr9EcRdaS-uUyJwVk","Atelier mécanique et carrosserie RENAULT","2 Rue Bely, 69004 Lyon, France","04 78 29 86 72","+33 4 78 29 86 72",,"https://maps.google.com/?cid=6467601502507541621","45.774406, 4.822611999999999","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:30 PM"",""Saturday: 9:00 AM – 12:00 PM"",""Sunday: Closed""]",2.7,true,true
"ChIJExuN5pHq9EcRk47dRvvCGCU","A.R.E.F.I Audit Révision Expertise et Finance","149 Boulevard de Stalingrad, 69100 Villeurbanne, France","04 72 69 07 00","+33 4 72 69 07 00",,"https://maps.google.com/?cid=2673100763325894291","45.7726274, 4.859323499999999",,5,true,
"ChIJwTP5B_Lq9EcRbSP0b41es5U","SPEEDY","42 Rue Duquesne, 69006 Lyon, France","04 72 82 01 02","+33 4 72 82 01 02","http://centres-auto.speedy.fr/garage/lyon-duquesne-duguesclin-69006/380","https://maps.google.com/?cid=10787069494044140397","45.77275, 4.8479","[""Monday: 8:00 AM – 7:00 PM"",""Tuesday: 8:00 AM – 7:00 PM"",""Wednesday: 8:00 AM – 7:00 PM"",""Thursday: 8:00 AM – 7:00 PM"",""Friday: 8:00 AM – 7:00 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",2.5,true,true
"ChIJjxoYL4Pq9EcRwdkRfHPQZ_s","La Révision","85 Cours Emile Zola, 69100 Villeurbanne, France",,,,"https://maps.google.com/?cid=18115677220542470593","45.7713832, 4.870619299999999",,,,
"ChIJwUN1xvTq9EcRDkBtHRDCIAo","Diagnostic Révision Conseil","112 Rue Garibaldi, 69006 Lyon, France","04 78 38 76 38","+33 4 78 38 76 38",,"https://maps.google.com/?cid=729796514102984718","45.766294, 4.8505883",,,,
"ChIJ13Y4UF_q9EcRbqvp0Y8FXq0","A.P.R.E.C Assistance Préparation Révision Expertise Comptable","160 Rue Vendôme, 69003 Lyon, France","04 72 85 98 41","+33 4 72 85 98 41",,"https://maps.google.com/?cid=12492428531632548718","45.7629164, 4.8459093",,,,
"ChIJSx9-lfvq9EcRkPmi0kCP8Og","Midas","63 Rue Royale, 97460 Lyon, France","02 62 22 56 74","+33 2 62 22 56 74","https://centre.midas.fr/9559-midas-lyon-garibaldi","https://maps.google.com/?cid=16785073319784413584","45.76985190000001, 4.837228500000001","[""Monday: 8:30 AM – 6:30 PM"",""Tuesday: 8:30 AM – 6:30 PM"",""Wednesday: 8:30 AM – 6:30 PM"",""Thursday: 8:30 AM – 6:30 PM"",""Friday: 8:30 AM – 6:30 PM"",""Saturday: 9:00 AM – 5:00 PM"",""Sunday: Closed""]",,,
"ChIJMYB5JuLq9EcRihOI48byBac","Avatacar","5 Rue de Nuits, 69004 Lyon, France","01 73 00 03 15","+33 1 73 00 03 15","http://garage-revision.avatacar.com/garage/lyon/2937","https://maps.google.com/?cid=12035292515252310922","45.7781053, 4.833801600000001","[""Monday: Closed"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,
"ChIJCa5sP4vq9EcRVgEbkHGBm18","Garage Citroën","115 Rue Bugeaud, 69006 Lyon, France","04 78 52 01 10","+33 4 78 52 01 10","https://reseau.citroen.fr/reparateur-lyon-1","https://maps.google.com/?cid=6889242379742282070","45.7670955, 4.8539404","[""Monday: 7:30 AM – 12:00 PM, 1:00 – 6:30 PM"",""Tuesday: 7:30 AM – 12:00 PM, 1:00 – 6:30 PM"",""Wednesday: 7:30 AM – 12:00 PM, 1:00 – 6:30 PM"",""Thursday: 7:30 AM – 12:00 PM, 1:00 – 6:30 PM"",""Friday: 7:30 AM – 12:00 PM, 1:00 – 5:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.1,true,true
"ChIJQUzBoizA9EcR6czdT79hWyA","Rhodanienne Révision Comptable","97 Rue Racine, 69100 Villeurbanne, France","04 78 03 09 99","+33 4 78 03 09 99",,"https://maps.google.com/?cid=2331564706400947433","45.76292369999999, 4.878597799999999",,,,
"ChIJ9d3P4UvA9EcR-feGEA0UGDg","SPEEDY","338 Cours Emile Zola, 69100 Villeurbanne, France","04 78 84 19 27","+33 4 78 84 19 27","http://centres-auto.speedy.fr/garage/villeurbanne-69100/839","https://maps.google.com/?cid=4042002711909431289","45.7658016, 4.898624499999999","[""Monday: 8:00 AM – 7:00 PM"",""Tuesday: 8:00 AM – 7:00 PM"",""Wednesday: 8:00 AM – 7:00 PM"",""Thursday: 8:00 AM – 7:00 PM"",""Friday: 8:00 AM – 7:00 PM"",""Saturday: 8:00 AM – 12:00 PM"",""Sunday: Closed""]",4.5,true,true
"ChIJKWo91DHA9EcR5UpmmvXnunE","SPEEDY","200 Cours Emile Zola, 69100 Villeurbanne, France","04 78 85 92 74","+33 4 78 85 92 74","http://centres-auto.speedy.fr/garage/villeurbanne-69100/34","https://maps.google.com/?cid=8195117513997437669","45.7685742, 4.883818199999999","[""Monday: 8:00 AM – 7:00 PM"",""Tuesday: 8:00 AM – 7:00 PM"",""Wednesday: 8:00 AM – 7:00 PM"",""Thursday: 8:00 AM – 7:00 PM"",""Friday: 8:00 AM – 7:00 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",3.5,true,true
"ChIJaXaQDm_s9EcRXT_KYTrS-D8","Midas Tassin","170 Avenue Charles de Gaulle, 69160 Tassin-la-Demi-Lune, France","04 78 34 94 95","+33 4 78 34 94 95","http://centre.midas.fr/9661-midas-tassin","https://maps.google.com/?cid=4609665366804283229","45.7556666, 4.771424099999999","[""Monday: 8:00 AM – 6:30 PM"",""Tuesday: 8:00 AM – 6:30 PM"",""Wednesday: 8:00 AM – 6:30 PM"",""Thursday: 8:00 AM – 6:30 PM"",""Friday: 8:00 AM – 6:30 PM"",""Saturday: 8:00 AM – 4:00 PM"",""Sunday: Closed""]",3.7,true,true
"ChIJM955r_3q9EcRVm5m2Q35YTw","Croix Rousse Moto","16 Rue des Tables Claudiennes, 69004 Lyon, France","09 82 43 34 70","+33 9 82 43 34 70","http://croixroussemoto.fr/","https://maps.google.com/?cid=4351032552893869654","45.7706646, 4.8327132","[""Monday: Closed"",""Tuesday: 9:00 AM – 7:00 PM"",""Wednesday: 9:00 AM – 7:00 PM"",""Thursday: 9:00 AM – 7:00 PM"",""Friday: 9:00 AM – 7:00 PM"",""Saturday: 9:00 AM – 7:00 PM"",""Sunday: Closed""]",4.9,true,true
"ChIJH5o_oF7q9EcRYc3TGRvtosI","Saxony 2 wheels","68 Rue Mazenod, 69003 Lyon, France","04 78 03 22 87","+33 4 78 03 22 87","http://www.saxe2roues.com/","https://maps.google.com/?cid=14025032890238356833","45.7587163, 4.846307","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.3,true,true
"ChIJvSRBRVzq9EcRi48b0Bxtcpg","Doc Biker","127 Avenue Maréchal de Saxe, 69003 Lyon, France","04 78 60 39 88","+33 4 78 60 39 88","http://www.docbiker.com/les-centres/centre-lyon","https://maps.google.com/?cid=10984962411628040075","45.7571062, 4.846511","[""Monday: 9:00 AM – 7:00 PM"",""Tuesday: 9:00 AM – 7:00 PM"",""Wednesday: 9:00 AM – 7:00 PM"",""Thursday: 9:00 AM – 7:00 PM"",""Friday: 9:00 AM – 7:00 PM"",""Saturday: 9:00 AM – 6:00 PM"",""Sunday: Closed""]",4.6,true,
"ChIJNduvJV7q9EcR_YCjBuYJDpE","Point S Auto Centre","19 Rue François Garcin, 69003 Lyon, France","04 78 95 25 74","+33 4 78 95 25 74","https://www.points.fr/centre-points/auto-pneus-armanet,lyon,00001817.html","https://maps.google.com/?cid=10452302668732006653","45.7601808, 4.8498661","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",4.6,true,true
