"place_id","name","address","phone","phone_international","website","google_url","location","opening_hours","rating","reviews","photos"
"ChIJ6UahmhiT9EcRqN3fOXr3LOE","Norauto","N6, 69760 Limonest, France","04 78 66 01 00","+33 4 78 66 01 00","http://centres.norauto.fr/centre/limonest-lyon/021","https://maps.google.com/?cid=16225615661838097832","45.80783519999999, 4.7793074","[""Monday: 8:00 AM – 7:30 PM"",""Tuesday: 8:00 AM – 7:30 PM"",""Wednesday: 8:00 AM – 7:30 PM"",""Thursday: 8:00 AM – 7:30 PM"",""Friday: 8:00 AM – 7:30 PM"",""Saturday: 8:00 AM – 7:30 PM"",""Sunday: Closed""]",3.1,true,true
"ChIJz2HXDEyV9EcRRrLbKIDF7yM","Midas Caluire","86 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 78 23 85 85","+33 4 78 23 85 85","http://centre.midas.fr/188062-midas-caluire","https://maps.google.com/?cid=2589505464993296966","45.8042263, 4.8636433","[""Monday: 8:00 AM – 6:30 PM"",""Tuesday: 8:00 AM – 6:30 PM"",""Wednesday: 8:00 AM – 6:30 PM"",""Thursday: 8:00 AM – 6:30 PM"",""Friday: 8:00 AM – 6:30 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",4.1,true,
"ChIJSUORfE6V9EcR8uDAIvjIOMk","Norauto","96 Avenue Général Leclerc, 69300 Caluire-et-Cuire, France","04 37 40 86 80","+33 4 37 40 86 80","http://centres.norauto.fr/centre/lyon-caluire/254","https://maps.google.com/?cid=14499559968379822322","45.8059146, 4.867717","[""Monday: 8:00 AM – 7:30 PM"",""Tuesday: 8:00 AM – 7:30 PM"",""Wednesday: 8:00 AM – 7:30 PM"",""Thursday: 8:00 AM – 7:30 PM"",""Friday: 8:00 AM – 7:30 PM"",""Saturday: 8:00 AM – 7:30 PM"",""Sunday: Closed""]",3.2,true,true
"ChIJXwMWXDKT9EcRbpt22T0bOe0","Euromaster","Rue Moulin Carron, ZI le Paisy, 69570 Dardilly, France","04 78 35 58 50","+33 4 78 35 58 50","https://centres.euromaster.fr/1045026-euromaster-dardilly-centre-auto-vl-voiture?utm_source=google&utm_medium=places&utm_campaign=euromaster","https://maps.google.com/?cid=17093723813116812142","45.80782070000001, 4.764998200000001","[""Monday: 8:00 AM – 12:30 PM, 1:30 – 6:30 PM"",""Tuesday: 8:00 AM – 12:30 PM, 1:30 – 6:30 PM"",""Wednesday: 8:00 AM – 12:30 PM, 1:30 – 6:30 PM"",""Thursday: 8:00 AM – 12:30 PM, 1:30 – 6:30 PM"",""Friday: 8:00 AM – 12:30 PM, 1:30 – 6:30 PM"",""Saturday: 8:30 AM – 12:00 PM"",""Sunday: Closed""]",3.4,true,true
"ChIJj5qgBTvr9EcRVDyYU1N4O2s","Mehdi Chafai","7 Quai Clemenceau, 69300 Caluire-et-Cuire, France","04 72 07 81 05","+33 4 72 07 81 05",,"https://maps.google.com/?cid=7726901884964322388","45.7900398, 4.8211033",,2,true,
"ChIJHbEMQyXr9EcRtN0bUmA2b9g","Avatacar","44 Chemin de Fond-Rose, 69300 Caluire-et-Cuire, France","01 73 00 03 15","+33 1 73 00 03 15","https://www.avatacar.com/","https://maps.google.com/?cid=15595743821929635252","45.7921, 4.82464","[""Monday: 8:00 AM – 6:00 PM"",""Tuesday: 8:00 AM – 6:00 PM"",""Wednesday: 8:00 AM – 6:00 PM"",""Thursday: 8:00 AM – 6:00 PM"",""Friday: 8:00 AM – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,
"ChIJT8Vgirbq9EcR4FVpwmVU9Qg","SPEEDY","17 Montée des Soldats, 69300 Caluire-et-Cuire, France","04 72 27 13 37","+33 4 72 27 13 37","http://centres-auto.speedy.fr/garage/caluire-et-cuire-69300/118","https://maps.google.com/?cid=645514917627647456","45.7969736, 4.8538888","[""Monday: 8:00 AM – 7:00 PM"",""Tuesday: 8:00 AM – 7:00 PM"",""Wednesday: 8:00 AM – 7:00 PM"",""Thursday: 8:00 AM – 7:00 PM"",""Friday: 8:00 AM – 7:00 PM"",""Saturday: 8:00 AM – 5:00 PM"",""Sunday: Closed""]",3.5,true,true
"ChIJrY9176rq9EcRliW-hwnjpYg","Garage Avatacar Caluire Et Cuire","102 Route de Strasbourg, 69300 Caluire-et-Cuire, France","04 28 31 07 14","+33 4 28 31 07 14","http://garage-revision.avatacar.com/garage/caluire-et-cuire/1241","https://maps.google.com/?cid=9846525790387053974","45.7983747, 4.876388500000001","[""Monday: 9:00 AM – 4:30 PM"",""Tuesday: 9:00 AM – 4:30 PM"",""Wednesday: 9:00 AM – 4:30 PM"",""Thursday: 9:00 AM – 4:30 PM"",""Friday: 9:00 AM – 4:30 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,
"ChIJj1p5jL3s9EcRGh_IGdq6DdI","Vidange rapide","10 Chemin de Pontet et Crases, 69130 Écully, France",,,,"https://maps.google.com/?cid=15135959368560287514","45.7855642, 4.775500099999999",,,,
"ChIJh11T5rvs9EcR5kuTATcYDEg","Feu Vert Services Ecully","Centre Commercial Carrefour Le Pérollier, 69130 Écully, France","04 78 33 58 41","+33 4 78 33 58 41","https://www.feuvert.fr/centres-auto/ecully/feu-vert-services-ecully/387.html","https://maps.google.com/?cid=5191551094980037606","45.7857286, 4.7757774","[""Monday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Tuesday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Wednesday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Thursday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Friday: 8:30 AM – 12:30 PM, 1:30 – 7:01 PM"",""Saturday: 8:30 AM – 12:30 PM, 1:30 – 7:31 PM"",""Sunday: Closed""]",2.7,true,true
"ChIJT5KS3m7r9EcR7DeMo7rXBgY","Euromaster","48 Rue de Bourgogne, 69009 Lyon, France","04 78 83 77 76","+33 4 78 83 77 76","https://centres.euromaster.fr/1045028-euromaster-lyon-bourgogne-centre-auto-vl-voiture?utm_source=google&utm_medium=places&utm_campaign=euromaster","https://maps.google.com/?cid=434271610695596012","45.778502, 4.802770799999999","[""Monday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Tuesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Wednesday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Thursday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Friday: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",3.9,true,true
"ChIJAWszZmXr9EcR5wL3Z7-POvY","SPEEDY","80 Rue Marietton, 69009 Lyon, France","04 78 43 45 99","+33 4 78 43 45 99","http://centres-auto.speedy.fr/garage/lyon-marieton-69009/124","https://maps.google.com/?cid=17742651734225257191","45.7763263, 4.7988455",,2.6,true,true
