"place_id","rating","language","text","relative_time_description","time"
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",3,"en","ok. but not great","3 months ago",1530531966
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",2,"en","No good work.","a month ago",1534906058
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",3,"en","Correct","10 months ago",1510420017
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",4,"en","Bon service .\n\n","a year ago",1489178499
"ChIJ6UahmhiT9EcRqN3fOXr3LOE",4,"en","OK","8 months ago",1516616028
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",2,"fr","Aimable toujours. Rapide aussi. Mais efficace une fois sur deux. Je n'étais pas habituée des garages jusqu'à ce que je commence mon entretien chez Midas Caluire. Et depuis, j'ai un problème récurrent tous les 6 mois, avec toujours environ 300 euros de facture, étalée en 4 fois sans frais pour que la pilule passe mieux. J'étais plutôt convaincue de l'honnêteté il y a un an et demi. Aujourd'hui, plus du tout : j'ai récupéré ma voiture réparée de sa panne la dernière fois mais avec un pot d'échappement mal remonté = nouveau problème. J'ai changé de garagiste, trouvé beaucoup moins cher chez un petit indépendant 500m plus loin et je ne m'arrête plus lorsque je passe devant.","3 weeks ago",1536401077
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Rapide efficace et honnête. J'avais téléphoné la veille pour prendre rendez-vous mais pas besoin au vu de mon problème. Petite salle d'attente pour les petites interventions.\nÉquipe sérieuse et détendu.\nBonne continuation","2 months ago",1531206101
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Très bon garage !!! Donne de bon conseil et entretien bien votre véhicule. Merci A  l équipe de midas.","in the last week",1538377862
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",1,"fr","Service déplorable et des voleurs. \nUne première fois on m'a donné un rdv, je suis allée et c'était fermé. \nBon d'accord, je ne reviens plus et c'est fini.\nAujourd'hui nous sommes à jeudi debout août, plein  de garages sont fermés. J'ai dû venir a Midas la semaine dernière pour la réparation d'une durite (je savais, un garagiste de confiance me l'avais dit mais il ne pouvait pas faire la réparation) on me donne rdv pour lundi. Lundi on m'appelle et on me dit que la pièce n'avait pas arrivé du coup changement de rdv pour mardi. \nOk je modifie mon agenda. Mardi a 10h j'arrive a Midas et le même Adrien qui m'a foutu la m**  3 fois déjà me dit avec son sourire forcé de toujours que la pièce n'est pas arrivé, apparemment la maison ne la fabrique plus. Du coup j'ai bien perdu mon temps. Bravo Midas merci, je n'avais pas autre chose a faire.\nAujourd'hui a 11h je suis allé a un garage Renault (a Rillieux la Pape) qui m'a fait la réparation en 1seule h et ils mon fait économiser 100euros. Sans blague j'ai le devis.\n\nDu coup je suis finalement contente de ne plus retourner chez Midas et avoir croisé en revanche des professionnels honnêtes. Merci Midas.","a month ago",1533830339
"ChIJz2HXDEyV9EcRRrLbKIDF7yM",5,"fr","Accueil professionnel et sympathique, dommage que je déménage sinon j'en aurais fait mon garage d'entretien","a month ago",1534186913
